縣市,住宅竊盜,強制性交,強盜,搶奪,機車竊盜,毒品,汽車竊盜
台北市,112,13,6,1,152,806,24
新北市,113,8,15,14,481,1568,125
桃園市,41,5,12,2,575,1023,287
台中市,36,2,6,10,290,502,57
台南市,119,12,15,5,262,310,108
高雄市,22,0,8,19,496,694,188
基隆市,25,2,1,0,49,254,8
新竹市,14,3,0,0,91,79,29
嘉義市,3,1,0,0,19,81,25
新竹縣,9,0,2,2,103,201,70
苗栗縣,21,1,3,2,53,100,55
彰化縣,44,10,4,5,88,305,51
南投縣,13,5,2,0,63,190,36
雲林縣,15,0,8,1,49,158,26
嘉義縣,7,3,0,0,32,76,18
屏東縣,19,1,3,5,111,248,60
宜蘭縣,24,0,3,4,29,148,21
花蓮縣,14,3,0,1,34,163,10
台東縣,6,0,1,0,20,36,1
澎湖縣,12,1,0,0,4,3,3
